ACCESSION,Phenotype,TREATMENT,SEM_RN_mean,N1_RN_mean,N2_RN_mean,N3_RN_mean,N4_RN_mean,N5_RN_mean,N6_RN_mean,SEM_Angle_mean,N1_Angle_mean,N2_Angle_mean,N3_Angle_mean,N4_Angle_mean,N5_Angle_mean,N6_Angle_mean,Aper,Nitrogen_treatment,Tag,density,respiration,Optimal_N,Min_N,Optimal_P,Min_P,Pho_treatment,Diameter_scaling
9_320,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.027069172,1025.348821,601.5183876,60,30,6,0.891354071
9_345,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.023727255,1015.649176,594.755331,60,30,6,0.91060418
9_370,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.020385338,1005.949532,587.9922744,60,30,6,0.929854289
9_395,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.017043422,996.2498868,581.2292178,60,30,6,0.949104398
9_420,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.013701505,986.550242,574.4661613,60,30,6,0.968354506
9_445,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.010359588,976.8505972,567.7031047,60,30,6,0.987604615
10_170,NA,LN5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,0.9,P1,0.094,0.049642232,1098.12339,667.2033268,60,30,6,0.853530887
10_195,NA,LN5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,0.9,P1,0.094,0.046300315,1088.423745,660.4402702,60,30,6,0.872780996
10_220,NA,LN5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,0.9,P1,0.094,0.042958398,1078.7241,653.6772137,60,30,6,0.892031104
10_245,NA,LN5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,0.9,P1,0.094,0.039616482,1069.024455,646.9141571,60,30,6,0.911281213
10_270,NA,LN5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,0.9,P1,0.094,0.036274565,1059.324811,640.1511005,60,30,6,0.930531322
10_295,NA,LN5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,0.9,P1,0.094,0.032932648,1049.625166,633.388044,60,30,6,0.949781431
10_320,NA,LN5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,0.9,P1,0.094,0.029590732,1039.925521,626.6249874,60,30,6,0.96903154
10_345,NA,LN5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,0.9,P1,0.094,0.026248815,1030.225876,619.8619308,60,30,6,0.988281648
10_370,NA,LN5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,0.9,P1,0.094,0.022906898,1020.526231,613.0988742,60,30,6,1.007531757
